team,rank,points
Argentina,1,1874
Spain,2,1873
France,3,1869
England,4,1810
Brazil,5,1790
Belgium,6,1780
Portugal,7,1750
Netherlands,8,1740
Croatia,10,1720
Germany,11,1715
Morocco,12,1660
United States,13,1650
Colombia,14,1640
Uruguay,15,1630
Mexico,16,1625
Switzerland,19,1610
Senegal,20,1600
Japan,21,1590
Iran,22,1580
South Korea,23,1560
Australia,24,1550
Austria,25,1545
Sweden,28,1520
Ecuador,31,1515
Qatar,34,1505
Czechia,36,1500
Egypt,37,1500
Côte d'Ivoire,38,1495
Scotland,39,1490
Türkiye,40,1485
Tunisia,41,1480
Algeria,43,1475
Panama,45,1470
Norway,47,1460
Canada,49,1450
Saudi Arabia,53,1430
Paraguay,56,1410
Iraq,58,1405
South Africa,59,1400
DR Congo,63,1390
Uzbekistan,64,1385
Cabo Verde,65,1380
Ghana,68,1360
Jordan,71,1340
Bosnia and Herzegovina,74,1330
Curaçao,85,1280
Haiti,90,1260
New Zealand,104,1160
