team,squad_value_m
France,1550.0
England,1370.0
Spain,1220.0
Portugal,1010.0
Germany,982.0
Brazil,943.2
Netherlands,814.2
Argentina,799.5
Norway,592.0
Belgium,550.7
Uruguay,480.0
Croatia,350.0
Morocco,350.0
United States,320.0
Côte d'Ivoire,300.0
Austria,280.0
Colombia,280.0
Senegal,280.0
Japan,260.0
Switzerland,250.0
Ecuador,240.0
Türkiye,230.0
Ghana,220.0
Sweden,220.0
Mexico,200.0
Algeria,190.0
Canada,180.0
South Korea,180.0
Scotland,180.0
Egypt,140.0
Czechia,120.0
Paraguay,120.0
DR Congo,110.0
Bosnia and Herzegovina,70.0
Iran,50.0
Tunisia,50.0
Australia,40.0
Uzbekistan,35.0
Panama,25.0
Saudi Arabia,25.0
South Africa,25.0
Qatar,20.0
Cabo Verde,20.0
Haiti,15.0
Jordan,15.0
New Zealand,15.0
Iraq,12.0
Curaçao,10.0

