team,fc26_rating,qualifiers_ppg
Argentina,84,2.3
Spain,85,2.5
France,86,2.4
England,85,2.3
Brazil,84,2.1
Belgium,82,2.2
Portugal,84,2.6
Netherlands,83,2.3
Croatia,80,2.0
Germany,84,2.2
Morocco,81,2.3
United States,80,2.0
Colombia,80,2.2
Uruguay,81,2.2
Mexico,77,1.8
Switzerland,79,1.9
Senegal,76,2.1
Japan,79,2.5
Iran,72,2.3
South Korea,77,2.2
Australia,73,2.1
Austria,80,2.1
Sweden,77,1.8
Ecuador,76,1.7
Qatar,70,1.9
Czechia,76,1.8
Egypt,76,2.2
Côte d'Ivoire,76,2.0
Scotland,75,1.7
Türkiye,77,1.9
Tunisia,72,1.8
Algeria,75,2.0
Panama,68,1.9
Norway,79,2.5
Canada,77,1.8
Saudi Arabia,72,1.8
Paraguay,74,1.4
Iraq,69,1.8
South Africa,70,1.6
DR Congo,72,1.7
Uzbekistan,69,1.9
Cabo Verde,69,1.5
Ghana,73,1.4
Jordan,67,1.6
Bosnia and Herzegovina,71,1.7
Curaçao,66,1.4
Haiti,66,1.5
New Zealand,65,2.5
